;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Live Spectrum 25-Jul-19 2:57:58 PM;Live Spectrum 25-Jul-19 2:57:59 PM;Live Spectrum 25-Jul-19 2:58:00 PM;Live Spectrum 25-Jul-19 2:58:01 PM;Live Spectrum 25-Jul-19 2:58:02 PM;Live Spectrum 25-Jul-19 2:58:03 PM;Live Spectrum 25-Jul-19 2:58:04 PM;Live Spectrum 25-Jul-19 2:58:05 PM;Live Spectrum 25-Jul-19 2:58:06 PM;Live Spectrum 25-Jul-19 2:58:07 PM;Live Spectrum 25-Jul-19 2:58:08 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-65;-42;248;363;349;348;378;359;361;314;349;246;341;440;434;412;-21;-23;82;-62;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;
781,784;0,80287;-14,484;622,89;592,29;557,91;589,19;604,94;595,1;623,67;541,8;591,89;638,95;557,81;644,89;571,99;565,91;-34,882;24,194;-14;-68,487;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;22,975;
782,113;25,408;46,334;558,04;546,09;566,89;557,61;614,06;577,85;569,48;520,31;578,67;630,41;600,46;568,05;556,76;522,98;-12,777;-11,204;0,51877;-16,647;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;55,408;
782,442;12,449;-15,606;617,78;592,23;611,91;568,64;547,39;602,53;630,69;560,99;610,85;608,79;642,5;616,71;590,68;560,16;10,124;5,1245;39,505;5,4655;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;40,62;
782,771;-13,904;8,4381;570,5;586,85;583,72;560,78;586,2;566,26;594,57;587,14;546,67;565,49;627,55;527,92;577,4;532,64;14,767;-77,858;20,863;29,137;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;8,5619;
783,100;-57,843;-28,983;571,58;559,03;653,53;649,26;583,49;657,84;524,98;605,74;556,81;567,58;598,1;622,28;637,37;588,58;-4,5267;11,704;-14,474;67,264;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;11,579;
783,429;-39,434;-9,4963;592,63;539,18;612,12;642,87;605,5;635;481,56;524,49;597,38;566,12;641,95;569,99;591,37;575,18;33,381;20,875;15,818;18,429;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;-41,446;
783,758;-8,7007;25,08;676,23;596,6;560,8;615,54;577,7;633;624,55;570,04;605,67;649,17;602,47;589,63;607,85;528,63;27,494;-23,422;47,299;-0,12223;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;17,379;
784,087;1,5766;42,247;602,86;540,92;557,05;576,83;558,85;539,61;631,09;558,71;529,76;559,66;571,41;560,51;602,33;525,05;41,294;-28,859;8,9758;-7,6707;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;28,624;
784,416;-6,6439;-29,033;601,88;566,81;531,07;557,71;518,62;563,81;556,09;558;522,16;497,37;593,05;589,73;543,41;525;45,842;3,6548;36,774;-36,813;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;-47,835;
784,745;-77,709;-26,188;539,04;540,88;517,41;573,47;580,93;557,25;562,69;599,65;531,69;595,74;589,16;499,95;596,21;607,33;31,471;-45,368;17,659;29,804;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;15,835;
785,074;43,012;84,321;655,13;616,15;611,7;644,29;646,46;554,07;623,53;536,56;549,57;522,85;593,88;646,37;577,5;556,3;53,455;-10,877;13,095;-34,388;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;8,2371;
785,403;-17,98;-13,399;501,5;547,13;503,76;591,86;542,68;562,86;567,91;549,76;536,22;606,63;553,64;602,75;545,5;514,64;33,33;-66,106;6,1098;-26,157;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;9,9686;
785,732;27,622;-10,04;641,84;613,45;541,68;599,93;552,9;610,61;622,55;501,39;604,45;551,46;605,57;597,04;561,86;576,49;-4,6946;-19,386;9,9679;-28,976;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;54,638;
786,061;-3,0007;17,999;633,99;544,02;526,01;606,01;544,01;543,01;537,01;501,01;597,99;585;574,01;464,03;551,01;564;41;-63,991;79,988;9,9918;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;69,979;
786,390;-7,1122;12,393;591,63;632,66;605,37;653,74;583,93;619,12;622,54;556,22;561,89;562,48;610,32;662,57;593,78;572,34;41,784;-12,264;10,992;-36,84;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;-50,736;
786,719;-21,178;59,312;548,16;590,14;528,44;620,01;575,06;510,86;566,69;582,68;548,29;498,65;648,99;487,94;567,24;492,1;14,513;-44,724;9,9189;-17,146;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;-18,308;
787,048;-31,466;-42,951;676,55;538,95;553,08;560,78;579,41;561,23;666,55;560,84;565,83;537,59;587,32;662,24;580,74;557,81;-13,302;-28,049;4,4421;-25,175;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;-34,817;
787,377;-9,0909;-39,929;579,43;577;480,97;594,4;596,32;495,62;565,6;475,43;560,88;525,51;561,49;512,82;530,75;510,71;54,805;-28,929;-17,61;8,1299;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;50,208;
787,706;17,311;-5,1643;618,64;576,64;628,55;661,1;606,36;658,46;494,32;518,08;615,34;653,8;606,89;566,88;554,42;535,73;49,243;1,1771;-6,2836;11,271;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;-30,043;
788,035;0,022102;59,017;542,57;571,18;616,44;546,08;613;551,64;507,48;519,07;576,88;510,72;626,14;565,96;586,78;622,83;54,169;-39,995;-16,227;-6,4889;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;35,746;
788,364;-16,437;-0,42384;611,2;625,6;583,78;566,03;570,41;562,29;612,23;501,34;592,63;582,6;591,31;600,53;562,72;595,96;36,405;-6,6384;-76,095;-18,506;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;-46,089;
788,694;23,248;-21,117;595,9;511,58;549,29;553,6;512,38;531,64;584,51;506,34;570,85;577,44;615,62;546,01;558,52;529,66;7,2481;-95,807;-26,624;-60,59;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;-27,855;
789,023;-17,697;16,017;564,52;631,79;582,89;604,26;536,57;507;601,13;501,43;584,77;592,91;647,91;587,89;567,7;539,44;-26,246;-38,582;-2,2053;-63,984;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;17,738;
789,352;-33,813;-31,036;542,62;599,64;595,07;597,63;594,33;617,94;541,73;554,12;603,95;534,93;581,28;575,73;586,2;543,6;40,566;-62,52;51,908;-4,0461;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;20,99;
789,681;19,742;1,2753;509,89;552,18;602,56;622,11;595,46;593,19;561,27;522;566,2;599,01;556,34;590,92;548,39;529,36;-20,997;23,213;-14,007;-33,742;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;-38,753;
790,010;-21,113;-9,4761;564,46;565,29;564,26;570,52;565,63;576,49;573,83;524,28;529,49;576,12;614,97;554,67;486,57;547,37;-33,781;-60,63;5,0068;6,6164;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;30,127;
790,339;-1,8481;-36,804;609,27;575,92;614,65;551,44;530,2;583,97;645,03;539,08;549,99;548,49;651,28;591,84;526,92;580,33;-59,753;-18,525;3,5315;-11,019;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;-0,15831;
790,668;8,3207;-5,7233;568,37;564,91;558,86;582,79;570,82;542,49;505,54;487,91;606,49;547,4;582,03;555,4;530,57;528,26;-56,11;3,6289;54,947;16,88;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;26,736;
790,997;-48,25;-37,874;555,88;558,25;539,5;595,38;608,88;601,63;576,38;476,12;587,88;624,75;599,63;594,5;616,75;555,25;14,376;7,5022;-24,001;-14,252;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;-68,876;
791,326;-36;-56,577;560,35;616,85;571,53;544,36;566,13;570,02;559,25;506,07;547,09;563,08;577,51;548,05;557,62;571,4;-11,984;-41,705;5,3846;36,658;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;-34,337;
791,655;-29,744;-11,242;589,74;579,42;570,59;603,15;572,83;594,92;530,25;519,68;597,18;578,31;653,97;661,08;592,15;579,83;20,886;16,469;-22,753;12,441;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;-34,753;
791,984;3,6182;-54,157;557,09;594,76;558,96;600,91;601,81;515,74;580,3;552,9;542,19;557,25;515,95;558,85;576,62;621,65;-9,2007;-32,734;31,231;4,4037;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;13,64;
792,313;-11,094;16,562;557,27;601,72;639,8;634,22;571,47;548,64;577,21;522,43;531,36;577,55;562,03;562,15;549,76;633,6;28,361;-22,556;46,692;38,331;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;13,829;
792,642;35,936;8,4936;581,29;616,84;620,3;554,44;593,65;570,74;552;576,73;536,27;487,89;602,88;582,48;547,62;509,79;20,611;-37,857;9,5836;-6,8955;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;49,092;
792,971;17,917;-6,9464;568,14;626,5;599,91;576,85;583,45;649,88;555,19;584,04;576,47;571,92;616,68;566,49;590,92;561,9;-2,0641;-40,083;29,94;-34,015;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;
793,300;44,219;-45,742;598,34;641,56;563,83;507,21;572,41;584,71;576,34;512,98;584,44;571,65;586,41;528,86;570,88;575,15;-2,7112;-8,7459;-24,881;-51,17;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;21,119;
793,629;21,932;36,835;615,25;587,99;556,84;600,77;585,25;570,11;593,05;524,44;613,78;642,64;560,05;535,44;560,33;556,15;8,1809;-10,827;-22,541;-55,031;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;25,023;
793,958;24,999;-10,319;578,16;567,68;588,68;630,98;539,57;589,05;551,27;520,45;563,57;590,79;551,39;556;539,25;568,48;-21,75;-0,067743;-29,522;-18,909;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;3,6123;
794,287;-10;-32,281;601,73;620,2;594,89;577,91;558,12;607,46;562,51;536,83;604,74;552,44;558,6;622,8;553,12;586,7;-3,6094;9,5544;-26,671;-29,677;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;-53,756;
794,616;-4,6581;-25,426;589,78;611,3;574,35;540,91;638,32;634,43;567,24;568,01;523,01;568,15;586,21;520,06;569,11;591,09;40,348;-26,423;-53,758;-8,7935;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;-22,232;
794,945;13,537;7,5843;594,43;558,7;596,11;598,56;605,91;586,58;587,71;563,51;537,7;623,09;546,25;640,49;548,57;536,27;58,4;17,06;-2,6574;-32,572;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;-28,473;
795,274;9,1092;-15,796;572,5;610,75;570,6;615,07;588,4;578,14;538,2;493,45;568,19;546,76;523,51;611,77;554,47;516,29;12,891;-1,2998;23,314;-12,454;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;20,109;
795,603;5,2532;-15,002;598,75;583,26;606,75;581,73;561,75;594,48;544,25;548,51;621,98;649,25;579,5;642,24;659,74;558,75;16,247;-21,752;3,7414;-43,992;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;2,745;
795,932;1,5307;-10,501;609,77;613,28;601,24;542,05;588,23;520,33;550,22;581,15;524,79;624,68;571,05;616,37;620;563,77;1,3363;-34,558;-24,982;-9,0089;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;-9,0205;
796,261;-35,987;16,977;564,58;580,23;567,65;655,01;594,44;614,75;560,9;592,73;543,77;564,76;580,02;605,84;666,62;544,92;17,141;-16,148;14,193;-5,8789;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;12,407;
796,590;23,018;-22,74;520,61;602,36;583,28;607,89;566,62;649,01;598,78;586,71;549,75;567,21;561,2;566,58;591,24;552,57;36,713;37,373;7,8258;41,138;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;-12,746;
796,919;31,459;-25,571;584,18;620,61;571,06;545,64;578,59;628,36;581,27;572,42;557,23;554,76;608,12;579,11;616,33;560,16;16,099;-7,4288;-2,1374;17,253;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;24,811;
797,248;-6,6535;20,792;555,1;599,6;551,48;560,42;577,87;556,88;531,58;562,98;517,53;583,8;596,84;548,61;628,44;526,45;-0,10891;-46,96;-7,4258;18,416;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;5,8119;
797,577;-5,3381;7,8866;568,58;640,48;600,31;561,8;569,27;585,61;571,26;546,45;601,55;586,47;583,02;637,24;587,82;555,34;11,193;-30,757;3,805;-62,227;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;-7,7252;
797,907;-22,469;48,854;542,79;621,05;632,31;605,51;580,42;585,1;584,78;546,31;609,59;537,79;572,1;621,52;531,43;553,48;5,7743;-51,562;47,198;-9,6771;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;-26,628;
798,236;-2,3721;82,931;533,77;607,3;582,26;585,05;584,51;572,21;591,12;529,44;610,35;518,67;567,35;600,67;575,14;570,07;-39,931;-22,231;-2,6046;16,349;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;9,4178;
798,565;3,0114;41,897;554,84;592,9;548,43;629,61;617,61;566,74;632,47;547,82;573,46;502,41;582,76;587,93;590,32;556,12;-32,756;-56,482;-8,6705;-5,114;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;23,795;
798,894;-4,0347;4,9655;589,17;541,07;566,1;579,62;593,83;593,03;554,41;577,14;594,21;540,72;565,65;546,76;558,03;589,38;-43,655;-0,62087;-20,69;-45,69;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;-19,379;
799,223;-9,0478;17,18;581,7;530,4;551,72;568,92;584;587,91;559,5;540,76;563,53;594,55;523,88;553,35;515,76;553,15;13,079;-5,6562;-37,455;-65,788;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;26,138;
